
[2026-04-14T01:22:08.4348772+08:00] ===== Sts2MapMod session start =====
[2026-04-14T01:22:08.9105195+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9111910+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9118487+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9124865+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9143449+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9148652+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9153931+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9160203+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9165367+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9170208+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9187256+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9193932+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9200173+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9207210+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9213647+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9218742+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9238238+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9245104+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9251924+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9258927+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9266925+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9274079+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9282810+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9291261+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9297467+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9304630+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9311107+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9318248+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9324776+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9331354+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9338443+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9343472+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9348836+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9354757+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9360234+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9365777+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9371218+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9377779+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9385379+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9393642+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9404144+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9411369+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9417983+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9424385+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9430945+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9437458+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9444050+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
